,email,label
0,Upgrade to our premium plan for exclusive access to premium content and features.,0
1,Happy holidays from our team! Wishing you joy and prosperity this season.,0
2,We're hiring! Check out our career opportunities and join our dynamic team.,0
3,Your Amazon account has been locked. Click here to verify your account information.,1
4,Your opinion matters! Take our survey and help us enhance your experience.,0
5,Your payment has been received. Thank you for your prompt transaction.,0
6,Your email account storage is full. Click here to upgrade your account.,1
7,"Dear [Name], thank you for subscribing to our newsletter. Here's your welcome gift!",0
8,Your account has been credited with loyalty points. Redeem them for exciting rewards!,0
9,You've been chosen for a free iPhone. Click here to claim your prize!,1
10,Don't miss out on our special offer! Sign up now and get a discount on your first purchase.,0
11,We're hiring interns for the summer. Apply now and gain valuable experience.,0
12,You're pre-approved for a loan. Click here to apply now!,1
13,We're thrilled to introduce our new collection. Shop now and enjoy exclusive discounts!,0
14,We're excited to announce our upcoming webinar series. Register now to reserve your spot!,0
15,We've added new features to our app based on your feedback. Update now!,0
16,You're a winner! Click here to claim your exclusive prize.,1
17,Your Facebook account has been hacked. Click here to secure your account.,1
18,Congratulations on reaching a new milestone! Here's to many more achievements.,0
19,Congratulations! You've been selected for a job interview. Click here to schedule your interview.,1
20,Your account has been suspended due to suspicious activity. Click here to unlock your account.,1
21,Get ready for our flash sale! Limited-time offers on your favorite products.,0
22,Thank you for your feedback. We're always striving to improve our services.,0
23,Your PayPal account has been suspended. Click here to restore your account access.,1
24,You've won a luxury car! Click here to claim your prize.,1
25,We've extended our sale for one more day! Don't miss your chance to save big.,0
26,Your account has been flagged for suspicious activity. Click here to verify your identity.,1
27,We're sorry for the inconvenience. Our website will be back online shortly.,0
28,Thank you for your recent purchase. Here's a special offer for you.,0
29,Get instant cash now! Click here to access our quick loan service.,1
30,We're here to help you with any questions or concerns you may have.,0
31,Your account has been banned. Click here to appeal the ban.,1
32,Congratulations! You've won a free vacation to a tropical paradise! Claim now!,1
33,Your account has been pre-approved for a credit card. Click here to apply now!,1
34,We're sorry to see you go. Let us know if there's anything we can do to improve.,0
35,You've been selected for a free trial of our premium membership. Click here to sign up!,1
36,You've been selected for a free trial of our premium service. Click here to activate now!,1
37,We're committed to sustainability. Learn more about our eco-friendly initiatives.,0
38,We're hiring! Check out our careers page for current job openings.,0
39,We're sorry for the inconvenience. Our website will be undergoing maintenance tonight.,0
40,Your account has been credited with bonus points. Use them to unlock exclusive rewards!,0
41,We appreciate your business. Here's a token of our appreciation.,0
42,We value your feedback. Share your thoughts with us.,0
43,Thank you for your loyalty. Here's a special discount code as a token of our appreciation.,0
44,Thank you for your purchase. Your order will be delivered within the next few days.,0
45,Your account has been hacked. Click here to reset your password.,1
46,Get ready for our annual sale! Big savings await you.,0
47,You've been selected for a free iPhone X. Click here to claim your prize!,1
48,Congratulations! You've won a free trip to Europe. Click here to claim your prize!,1
49,This is to inform you about the schedule change for tomorrow's meeting. Please take note.,0
50,You've been selected for a special prize. Click here to claim your reward!,1
51,You've been selected for a free trial of our premium service. Click here to activate now!,1
52,You've been selected for a free trial of our premium service. Click here to activate now!,1
53,Upgrade to our premium membership for exclusive benefits and personalized recommendations.,0
54,You've won a luxury car! Click here to claim your prize.,1
55,We've updated our app with new features. Update now for an enhanced user experience.,0
56,Your opinion matters! Take our survey and get a chance to win exciting prizes.,0
57,Get instant cash now! Click here to access our quick loan service.,1
58,We're excited to announce our latest product release. Check it out!,0
59,Your computer has been infected with a virus. Click here to download our antivirus software.,1
60,Your account has been pre-approved for a credit card. Click here to apply now!,1
61,Your subscription renewal is due. Don't forget to update your payment information.,0
62,Get rich quick! Click here to join our exclusive investment program.,1
63,Don't miss out on our limited-time offer. Shop now and save.,0
64,We value your privacy. Review our updated privacy policy for more information.,0
65,You've been selected for a free iPhone X. Click here to claim your prize!,1
66,Your account has been compromised. Click here to secure your account.,1
67,Congratulations! You're our lucky winner of the day. Click here to claim your prize!,1
68,We're hosting a webinar next week. Register now to secure your spot!,0
69,Your order has been successfully processed. It will be shipped out today.,0
70,We're experiencing high call volumes. You can reach us faster by using our online chat.,0
71,Your Netflix subscription has expired. Click here to renew now!,1
72,Good morning! Attached is the report you requested. Have a great day!,0
73,Thank you for attending our workshop. Here are the presentation slides for your reference.,0
74,We're excited to share our latest product updates with you. Check them out now!,0
75,Act fast! Limited-time offer on designer handbags. Click here to shop now!,1
76,Claim your prize now! Click here to confirm your winnings.,1
77,Just a friendly reminder to renew your subscription before it expires.,0
78,Act now! Limited-time offer on luxury watches. Click here to buy now!,1
79,Congratulations! You're the lucky winner of our holiday giveaway. Click here to claim your prize!,1
80,Thank you for your inquiry. We appreciate your interest in our products.,0
81,Get rich overnight! Click here to learn our secret money-making method.,1
82,Your satisfaction is our priority. Let us know how we can serve you better.,0
83,Thank you for your patience. Our technical team has resolved the issue. Happy browsing!,0
84,"Dear [Name], your account subscription has expired. Renew now to continue enjoying our services.",0
85,URGENT: Your account has been compromised. Click here to reset your password immediately.,1
86,Your annual membership has been renewed. Enjoy another year of exclusive benefits.,0
87,We're excited to share our latest blog post with you. Check it out for valuable insights.,0
88,Your account has been banned. Click here to appeal the ban.,1
89,You've won a luxury cruise! Click here to claim your tickets.,1
90,We've detected unusual activity on your account. Secure it by changing your password.,0
91,Your package is out for delivery. Track your shipment using the link provided.,0
92,You've won a shopping spree! Click here to claim your voucher.,1
93,Your account has been upgraded to VIP status. Enjoy enhanced benefits and privileges.,0
94,Thank you for subscribing to our newsletter. Here's a special offer just for you!,0
95,Our team is here to help you. Contact us anytime for assistance.,0
96,Stay connected with us! Follow our social media channels for the latest updates.,0
97,Your account has been hacked. Click here to reset your password.,1
98,Stay informed with our latest blog posts. Subscribe to our newsletter today.,0
99,Your account has been credited with bonus points. Click here to redeem your rewards.,1
100,Congratulations! You're the winner of our daily giveaway. Click here to claim your reward!,1
101,Your PayPal account has been locked. Click here to restore your account access.,1
102,Your trial period has ended. Upgrade to a premium plan for unlimited access.,0
103,Stay connected with our latest updates. Follow us on social media.,0
104,Congratulations! You've been selected for a free trial of our premium software. Click here to download now!,1
105,Congratulations! You've been selected for a free trial of our premium software. Click here to download now!,1
106,Your order is confirmed. You'll receive a confirmation email shortly with the details.,0
107,We're committed to providing excellent service. Your feedback helps us improve.,0
108,"Dear [Name], your account has been upgraded to premium status. Enjoy the perks!",0
109,Your feedback matters to us. Take our survey and help us serve you better.,0
110,Congratulations! You're the winner of our daily giveaway. Click here to claim your reward!,1
111,Claim your prize now! Click here to confirm your winnings.,1
112,Stay in the loop with our newsletter. Subscribe now for the latest news and updates.,0
113,You've been selected for a free trial of our premium service. Click here to activate now!,1
114,Get exclusive access to our VIP club. Click here to join now!,1
115,You're our lucky winner! Click here to claim your jackpot prize.,1
116,Your bank account has been suspended. Click here to verify your account details.,1
117,We're here to help! Contact our customer support team for assistance.,0
118,We're excited to announce our new product launch. Check it out on our website!,0
119,Unlock exclusive discounts! Click here to join our loyalty program.,1
120,"Dear valued customer, here's a special discount code for your next purchase: XYZ123.",0
121,Get rich overnight! Click here to learn our secret money-making method.,1
122,We're excited to announce our partnership with [Company]. Stay tuned for exciting collaborations!,0
123,We've reached a milestone! Thank you for being part of our journey.,0
124,"We're pleased to announce our partnership with [Company]. Together, we'll achieve great things!",0
125,We're hosting a giveaway on our social media channels. Follow us for a chance to win!,0
126,We've launched a new feature based on user feedback. Try it out and let us know what you think!,0
127,We've upgraded our servers for faster performance. Enjoy smoother browsing!,0
128,Congratulations on your recent achievement! Keep up the great work!,0
129,Claim your inheritance now! Click here to access your funds.,1
130,We're committed to your satisfaction. Let us know how we can improve.,0
131,We're excited to share our latest updates with you. Stay tuned for more news!,0
132,Congratulations! You're the lucky winner of our holiday giveaway. Click here to claim your prize!,1
133,You're invited to a special event. Click here to RSVP now!,1
134,Thank you for your loyalty. Here's a special discount for being a valued customer.,0
135,We hope you're enjoying your subscription. Let us know if you have any questions.,0
136,"Dear [Name], your account balance is now updated. Please review the details.",0
137,We're celebrating our anniversary! Join us for special offers and giveaways all week long.,0
138,Your email account storage is full. Click here to upgrade your account.,1
139,You're invited to a special event. Click here to RSVP now!,1
140,We're here to assist you. Contact our support team if you need any help.,0
141,Don't miss our end-of-season sale! Grab your favorite items at discounted prices.,0
142,Your account has been credited with bonus points. Click here to redeem your rewards.,1
143,Your Facebook account has been hacked. Click here to secure your account.,1
144,Your account has been flagged for suspicious activity. Click here to verify your identity.,1
145,You've won a shopping spree! Click here to claim your voucher.,1
146,We're extending our sale for one more day due to popular demand. Don't miss out!,0
147,We're hosting a live Q&A session tomorrow. Submit your questions in advance!,0
148,You've won a lottery! Click here to claim your million-dollar prize!,1
149,Congratulations on your recent purchase! Here's a voucher for your next order.,0
150,Get rich quick! Click here to join our exclusive investment program.,1
151,Your account has been credited with bonus points for your recent purchase. Enjoy!,0
152,Get ready for our annual sale! Huge discounts on a wide range of products.,0
153,We're sorry for the inconvenience. Our technical team is working on resolving the issue.,0
154,"Your account login was successful. If this wasn't you, please contact us immediately.",0
155,"We're thrilled to announce our partnership with [Organization]. Together, we'll make a difference!",0
156,Your account has been suspended due to suspicious activity. Click here to unlock your account.,1
157,Your Netflix subscription has expired. Click here to renew now!,1
158,We're experiencing technical difficulties. Our team is working to resolve the issue ASAP.,0
159,Act fast! Limited-time offer on designer handbags. Click here to shop now!,1
160,You've won a luxury cruise! Click here to claim your tickets.,1
161,Hello! Just wanted to remind you about our upcoming event. Don't miss it!,0
162,Your account password has been reset successfully. Please login with the new password.,0
163,You've won a shopping spree! Click here to claim your voucher.,1
164,Unlock exclusive discounts! Click here to join our loyalty program.,1
165,Act fast! Limited-time offer on luxury watches. Click here to buy now!,1
166,Make money fast! Join our affiliate program and start earning cash today!,1
167,Congratulations! You've been selected for a special offer. Enjoy!,0
168,Your credit card has been charged for unauthorized purchases. Click here to dispute the charges.,1
169,Congratulations on your recent purchase! Here's a special offer for your next order.,0
170,Your account has been credited with bonus points for your continued support. Thank you!,0
171,You've been chosen for a free iPhone. Click here to claim your prize!,1
172,Congratulations! You've won a free trip to Europe. Click here to claim your prize!,1
173,Introducing our loyalty program. Earn points with every purchase and redeem rewards!,0
174,We're pleased to inform you that your refund has been processed successfully.,0
175,Get rich quick! Invest in our revolutionary new scheme and retire early!,1
176,Your free trial period is ending soon. Upgrade now to continue enjoying our services.,0
177,Your order is on its way! Track your shipment for real-time updates.,0
178,Limited-time offer! Get 50% off on all purchases today only. Don't miss out!,1
